Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
8.8007000E+3	4.0000800E-1	1.2443400E-6	3.2138598E+5	3.9990543E+2
8.6136000E+3	4.0000700E-1	1.2439700E-6	3.2148079E+5	3.9990546E+2
8.4144000E+3	4.0000800E-1	1.2436200E-6	3.2157209E+5	3.9990549E+2
8.2130000E+3	4.0000700E-1	1.2432700E-6	3.2166184E+5	3.9990551E+2
8.0063000E+3	4.0000400E-1	1.2427400E-6	3.2179664E+5	3.9990555E+2
7.7974000E+3	4.0000600E-1	1.2422500E-6	3.2192521E+5	3.9990559E+2
7.5851000E+3	4.0000700E-1	1.2418400E-6	3.2203232E+5	3.9990562E+2
7.3712000E+3	4.0000800E-1	1.2413600E-6	3.2215768E+5	3.9990566E+2
7.1568000E+3	4.0001000E-1	1.2408600E-6	3.2228913E+5	3.9990570E+2
6.9411000E+3	4.0001000E-1	1.2401800E-6	3.2246589E+5	3.9990575E+2
6.7250000E+3	4.0000600E-1	1.2395200E-6	3.2263440E+5	3.9990580E+2
6.5087000E+3	4.0000500E-1	1.2386600E-6	3.2285765E+5	3.9990586E+2
6.2919000E+3	4.0000600E-1	1.2380900E-6	3.2300714E+5	3.9990591E+2
6.0727000E+3	4.0000700E-1	1.2374000E-6	3.2318810E+5	3.9990596E+2
5.8550000E+3	4.0000500E-1	1.2365500E-6	3.2340870E+5	3.9990602E+2
5.6400000E+3	4.0000800E-1	1.2356300E-6	3.2365198E+5	3.9990609E+2
5.4220000E+3	4.0000700E-1	1.2346900E-6	3.2389763E+5	3.9990617E+2
5.2043000E+3	4.0000600E-1	1.2337100E-6	3.2415417E+5	3.9990624E+2
4.9865000E+3	4.0000900E-1	1.2323600E-6	3.2451178E+5	3.9990634E+2
4.7689000E+3	4.0000900E-1	1.2310900E-6	3.2484663E+5	3.9990644E+2
4.5501000E+3	4.0000700E-1	1.2296700E-6	3.2522022E+5	3.9990655E+2
4.3333000E+3	4.0000600E-1	1.2280800E-6	3.2564057E+5	3.9990667E+2
4.1142000E+3	4.0000600E-1	1.2262700E-6	3.2612133E+5	3.9990680E+2
3.8968000E+3	4.0000500E-1	1.2243000E-6	3.2664539E+5	3.9990695E+2
3.6766000E+3	4.0000600E-1	1.2219800E-6	3.2726651E+5	3.9990713E+2
3.4569000E+3	4.0000600E-1	1.2194900E-6	3.2793489E+5	3.9990732E+2
3.2375000E+3	4.0000700E-1	1.2166600E-6	3.2869868E+5	3.9990754E+2
3.0145000E+3	4.0000900E-1	1.2132900E-6	3.2961352E+5	3.9990779E+2
2.7920000E+3	4.0000800E-1	1.2095400E-6	3.3063485E+5	3.9990808E+2
2.5674000E+3	4.0000900E-1	1.2053300E-6	3.3179079E+5	3.9990840E+2
2.3450000E+3	4.0000700E-1	1.2010100E-6	3.3298284E+5	3.9990872E+2
2.1174000E+3	4.0000600E-1	1.1961500E-6	3.3433524E+5	3.9990909E+2
1.8924000E+3	4.0000500E-1	1.1909400E-6	3.3579734E+5	3.9990949E+2
1.6640700E+3	4.0000700E-1	1.1858500E-6	3.3724069E+5	3.9990988E+2
1.4355000E+3	4.0000600E-1	1.1803900E-6	3.3880013E+5	3.9991029E+2
1.2053900E+3	4.0000600E-1	1.1749900E-6	3.4035754E+5	3.9991070E+2
9.7344000E+2	4.0000600E-1	1.1692000E-6	3.4204340E+5	3.9991114E+2
7.4120000E+2	4.0000600E-1	1.1633700E-6	3.4375786E+5	3.9991159E+2
5.0783000E+2	4.0000400E-1	1.1575100E-6	3.4549682E+5	3.9991203E+2
2.7431000E+2	4.0000400E-1	1.1518100E-6	3.4720697E+5	3.9991246E+2
1.3178600E+2	4.0000500E-1	1.1482700E-6	3.4827848E+5	3.9991273E+2
8.2689000E+1	4.0000500E-1	1.1472200E-6	3.4859731E+5	3.9991281E+2
3.6514000E+1	4.0000400E-1	1.1461000E-6	3.4893718E+5	3.9991290E+2
1.6171600E+1	4.0000500E-1	1.1454600E-6	3.4913305E+5	3.9991295E+2
5.9174000E+0	4.0000500E-1	1.1450600E-6	3.4925504E+5	3.9991298E+2
1.6511000E+0	4.0000600E-1	1.1451300E-6	3.4923456E+5	3.9991297E+2
-2.2603000E+0	4.0000700E-1	1.1450000E-6	3.4927509E+5	3.9991298E+2
-6.1152000E+0	4.0000600E-1	1.1452100E-6	3.4921016E+5	3.9991297E+2
-9.9358000E+0	4.0000900E-1	1.1451900E-6	3.4921888E+5	3.9991297E+2
-1.3705900E+1	4.0000900E-1	1.1451200E-6	3.4924023E+5	3.9991297E+2
