Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
8.8004000E+3	-2.0008700E-1	-4.1154100E-7	4.8611371E+5	-1.9996874E+2
8.6135000E+3	-2.0008700E-1	-4.1134300E-7	4.8634774E+5	-1.9996875E+2
8.4143000E+3	-2.0008800E-1	-4.1109300E-7	4.8664598E+5	-1.9996877E+2
8.2128000E+3	-2.0008800E-1	-4.1087600E-7	4.8690304E+5	-1.9996879E+2
8.0058000E+3	-2.0009000E-1	-4.1064700E-7	4.8717948E+5	-1.9996880E+2
7.7972000E+3	-2.0008900E-1	-4.1036900E-7	4.8750713E+5	-1.9996883E+2
7.5854000E+3	-2.0008700E-1	-4.1007500E-7	4.8785182E+5	-1.9996885E+2
7.3713000E+3	-2.0008900E-1	-4.0975800E-7	4.8823417E+5	-1.9996887E+2
7.1571000E+3	-2.0009000E-1	-4.0945400E-7	4.8859916E+5	-1.9996890E+2
6.9404000E+3	-2.0008800E-1	-4.0911100E-7	4.8900398E+5	-1.9996892E+2
6.7247000E+3	-2.0008900E-1	-4.0876200E-7	4.8942400E+5	-1.9996895E+2
6.5082000E+3	-2.0008800E-1	-4.0839800E-7	4.8985784E+5	-1.9996898E+2
6.2918000E+3	-2.0008800E-1	-4.0796800E-7	4.9037423E+5	-1.9996901E+2
6.0725000E+3	-2.0008800E-1	-4.0748600E-7	4.9095437E+5	-1.9996904E+2
5.8552000E+3	-2.0008700E-1	-4.0703800E-7	4.9149235E+5	-1.9996908E+2
5.6399000E+3	-2.0008800E-1	-4.0650100E-7	4.9214419E+5	-1.9996912E+2
5.4217000E+3	-2.0008600E-1	-4.0596600E-7	4.9278793E+5	-1.9996916E+2
5.2041000E+3	-2.0008800E-1	-4.0532900E-7	4.9356744E+5	-1.9996921E+2
4.9864000E+3	-2.0008800E-1	-4.0467900E-7	4.9436033E+5	-1.9996926E+2
4.7691000E+3	-2.0008700E-1	-4.0393600E-7	4.9526732E+5	-1.9996931E+2
4.5501000E+3	-2.0008800E-1	-4.0317500E-7	4.9620477E+5	-1.9996937E+2
4.3332000E+3	-2.0008700E-1	-4.0231000E-7	4.9726933E+5	-1.9996944E+2
4.1138000E+3	-2.0008600E-1	-4.0130000E-7	4.9851857E+5	-1.9996951E+2
3.8968000E+3	-2.0008900E-1	-4.0022900E-7	4.9986029E+5	-1.9996960E+2
3.6765000E+3	-2.0008800E-1	-3.9905900E-7	5.0132354E+5	-1.9996968E+2
3.4569000E+3	-2.0008800E-1	-3.9762300E-7	5.0313433E+5	-1.9996979E+2
3.2371000E+3	-2.0008500E-1	-3.9603200E-7	5.0514833E+5	-1.9996991E+2
3.0147000E+3	-2.0008900E-1	-3.9428800E-7	5.0739316E+5	-1.9997005E+2
2.7919000E+3	-2.0008700E-1	-3.9225300E-7	5.1002080E+5	-1.9997020E+2
2.5673000E+3	-2.0008800E-1	-3.8998900E-7	5.1298462E+5	-1.9997037E+2
2.3450000E+3	-2.0009000E-1	-3.8752700E-7	5.1624931E+5	-1.9997056E+2
2.1176000E+3	-2.0008900E-1	-3.8478800E-7	5.1992202E+5	-1.9997077E+2
1.8922300E+3	-2.0009100E-1	-3.8186600E-7	5.2390623E+5	-1.9997099E+2
1.6640100E+3	-2.0009200E-1	-3.7878600E-7	5.2816950E+5	-1.9997123E+2
1.4355500E+3	-2.0009000E-1	-3.7564400E-7	5.3258258E+5	-1.9997146E+2
1.2054200E+3	-2.0008900E-1	-3.7247600E-7	5.3711029E+5	-1.9997170E+2
9.7321000E+2	-2.0008800E-1	-3.6918000E-7	5.4190352E+5	-1.9997195E+2
7.4137000E+2	-2.0008900E-1	-3.6598000E-7	5.4664513E+5	-1.9997220E+2
5.0764000E+2	-2.0008900E-1	-3.6270500E-7	5.5158168E+5	-1.9997245E+2
2.7428000E+2	-2.0009400E-1	-3.5941100E-7	5.5665153E+5	-1.9997270E+2
1.3157000E+2	-2.0009100E-1	-3.5739600E-7	5.5978197E+5	-1.9997285E+2
8.2568000E+1	-2.0009100E-1	-3.5673800E-7	5.6081463E+5	-1.9997290E+2
3.6425000E+1	-2.0008900E-1	-3.5605100E-7	5.6189125E+5	-1.9997295E+2
1.6026900E+1	-2.0009200E-1	-3.5582400E-7	5.6225819E+5	-1.9997297E+2
5.8232000E+0	-2.0009100E-1	-3.5570700E-7	5.6244034E+5	-1.9997298E+2
1.5398700E+0	-2.0009300E-1	-3.5565300E-7	5.6253137E+5	-1.9997298E+2
-2.3368700E+0	-2.0009100E-1	-3.5572300E-7	5.6241504E+5	-1.9997298E+2
-6.1912000E+0	-2.0009300E-1	-3.5571200E-7	5.6243806E+5	-1.9997298E+2
-1.0006700E+1	-2.0008800E-1	-3.5564000E-7	5.6253788E+5	-1.9997298E+2
-1.3752700E+1	-2.0008900E-1	-3.5578800E-7	5.6230665E+5	-1.9997297E+2
