Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3975000E+3	-1.5007200E-1	-1.0114000E-6	1.4816346E+5	-1.4978063E+2
4.2434000E+3	-1.5007000E-1	-1.0112300E-6	1.4818643E+5	-1.4978067E+2
4.0844000E+3	-1.5007000E-1	-1.0110500E-6	1.4821285E+5	-1.4978070E+2
3.9233000E+3	-1.5007000E-1	-1.0108000E-6	1.4824956E+5	-1.4978076E+2
3.7600000E+3	-1.5006900E-1	-1.0105200E-6	1.4828971E+5	-1.4978082E+2
3.5949000E+3	-1.5006900E-1	-1.0101400E-6	1.4834558E+5	-1.4978090E+2
3.4269000E+3	-1.5006800E-1	-1.0098400E-6	1.4838872E+5	-1.4978096E+2
3.2595000E+3	-1.5006800E-1	-1.0095100E-6	1.4843730E+5	-1.4978104E+2
3.0890000E+3	-1.5006800E-1	-1.0090800E-6	1.4850064E+5	-1.4978113E+2
2.9177000E+3	-1.5007000E-1	-1.0086500E-6	1.4856603E+5	-1.4978123E+2
2.7456000E+3	-1.5006900E-1	-1.0080900E-6	1.4864768E+5	-1.4978135E+2
2.5706000E+3	-1.5006700E-1	-1.0073900E-6	1.4874914E+5	-1.4978149E+2
2.3974000E+3	-1.5006900E-1	-1.0065700E-6	1.4887248E+5	-1.4978167E+2
2.2197000E+3	-1.5006700E-1	-1.0054500E-6	1.4903657E+5	-1.4978191E+2
2.0424000E+3	-1.5006600E-1	-1.0040900E-6	1.4923773E+5	-1.4978221E+2
1.8656900E+3	-1.5006700E-1	-1.0017000E-6	1.4959532E+5	-1.4978273E+2
1.6854200E+3	-1.5006900E-1	-9.9754600E-7	1.5022118E+5	-1.4978363E+2
1.5069300E+3	-1.5007000E-1	-9.8966700E-7	1.5141986E+5	-1.4978534E+2
1.3240100E+3	-1.5006900E-1	-9.7581700E-7	1.5357106E+5	-1.4978835E+2
1.1436400E+3	-1.5006900E-1	-9.5881000E-7	1.5629889E+5	-1.4979203E+2
9.6115000E+2	-1.5006800E-1	-9.3998800E-7	1.5943185E+5	-1.4979612E+2
7.7644000E+2	-1.5007100E-1	-9.1813300E-7	1.6323535E+5	-1.4980086E+2
5.9463000E+2	-1.5006900E-1	-8.9515600E-7	1.6742864E+5	-1.4980584E+2
4.1064000E+2	-1.5006900E-1	-8.6860700E-7	1.7255273E+5	-1.4981160E+2
2.2493000E+2	-1.5006900E-1	-8.3494400E-7	1.7951841E+5	-1.4981890E+2
1.3292200E+2	-1.5006800E-1	-8.1528300E-7	1.8385160E+5	-1.4982316E+2
8.6711000E+1	-1.5007200E-1	-8.0439400E-7	1.8634829E+5	-1.4982553E+2
4.1443000E+1	-1.5007200E-1	-7.9329500E-7	1.8895853E+5	-1.4982794E+2
3.0983000E+1	-1.5007100E-1	-7.9072100E-7	1.8957308E+5	-1.4982849E+2
2.1645000E+1	-1.5007100E-1	-7.8845700E-7	1.9011805E+5	-1.4982899E+2
1.2258600E+1	-1.5007100E-1	-7.8639700E-7	1.9061664E+5	-1.4982943E+2
8.3483000E+0	-1.5007100E-1	-7.8556100E-7	1.9081972E+5	-1.4982961E+2
4.5500000E+0	-1.5007100E-1	-7.8491700E-7	1.9097646E+5	-1.4982975E+2
7.4396000E-1	-1.5007000E-1	-7.8452800E-7	1.9106999E+5	-1.4982984E+2
-3.0113200E+0	-1.5007200E-1	-7.8418600E-7	1.9115597E+5	-1.4982991E+2
-6.8208000E+0	-1.5007200E-1	-7.8370100E-7	1.9127440E+5	-1.4983002E+2
