Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3955000E+3	-3.0009200E-1	-2.4107000E-6	1.2426635E+5	-2.9947704E+2
4.2417000E+3	-3.0009200E-1	-2.4103100E-6	1.2428649E+5	-2.9947712E+2
4.0827000E+3	-3.0008900E-1	-2.4102400E-6	1.2428886E+5	-2.9947713E+2
3.9216000E+3	-3.0009200E-1	-2.4098100E-6	1.2431232E+5	-2.9947723E+2
3.7581000E+3	-3.0009100E-1	-2.4095000E-6	1.2432793E+5	-2.9947730E+2
3.5934000E+3	-3.0009100E-1	-2.4090300E-6	1.2435222E+5	-2.9947740E+2
3.4254000E+3	-3.0009400E-1	-2.4087900E-6	1.2436588E+5	-2.9947746E+2
3.2583000E+3	-3.0009300E-1	-2.4081000E-6	1.2440116E+5	-2.9947760E+2
3.0878000E+3	-3.0009300E-1	-2.4077200E-6	1.2442083E+5	-2.9947769E+2
2.9164000E+3	-3.0009200E-1	-2.4070000E-6	1.2445770E+5	-2.9947784E+2
2.7444000E+3	-3.0009200E-1	-2.4063000E-6	1.2449397E+5	-2.9947799E+2
2.5693000E+3	-3.0009400E-1	-2.4053400E-6	1.2454457E+5	-2.9947820E+2
2.3964000E+3	-3.0009000E-1	-2.4038300E-6	1.2462128E+5	-2.9947853E+2
2.2186000E+3	-3.0009200E-1	-2.4021100E-6	1.2471150E+5	-2.9947890E+2
2.0417000E+3	-3.0009400E-1	-2.3997300E-6	1.2483624E+5	-2.9947942E+2
1.8646100E+3	-3.0009400E-1	-2.3958800E-6	1.2503719E+5	-2.9948026E+2
1.6843100E+3	-3.0009300E-1	-2.3890100E-6	1.2539696E+5	-2.9948175E+2
1.5057800E+3	-3.0009200E-1	-2.3760100E-6	1.2608382E+5	-2.9948456E+2
1.3231500E+3	-3.0009100E-1	-2.3515000E-6	1.2739984E+5	-2.9948988E+2
1.1425400E+3	-3.0009400E-1	-2.3197500E-6	1.2914780E+5	-2.9949677E+2
9.6014000E+2	-3.0009500E-1	-2.2846800E-6	1.3113400E+5	-2.9950438E+2
7.7585000E+2	-3.0009400E-1	-2.2431600E-6	1.3356481E+5	-2.9951339E+2
5.9352000E+2	-3.0009000E-1	-2.1990400E-6	1.3624709E+5	-2.9952295E+2
4.0986000E+2	-3.0009300E-1	-2.1477200E-6	1.3950931E+5	-2.9953409E+2
2.2432000E+2	-3.0009200E-1	-2.0850100E-6	1.4371133E+5	-2.9954769E+2
1.3227600E+2	-3.0009100E-1	-2.0470000E-6	1.4638339E+5	-2.9955594E+2
8.6276000E+1	-3.0009300E-1	-2.0248100E-6	1.4799098E+5	-2.9956075E+2
4.1105000E+1	-3.0009200E-1	-2.0042800E-6	1.4950859E+5	-2.9956520E+2
3.0761000E+1	-3.0009700E-1	-1.9996100E-6	1.4986077E+5	-2.9956622E+2
2.1387000E+1	-3.0009700E-1	-1.9953700E-6	1.5017967E+5	-2.9956714E+2
1.2020500E+1	-3.0009400E-1	-1.9914100E-6	1.5047723E+5	-2.9956800E+2
8.1179000E+0	-3.0009400E-1	-1.9895400E-6	1.5061887E+5	-2.9956841E+2
4.3434000E+0	-3.0009300E-1	-1.9877900E-6	1.5075116E+5	-2.9956878E+2
6.1201000E-1	-3.0009300E-1	-1.9873400E-6	1.5078534E+5	-2.9956888E+2
-3.2013000E+0	-3.0009500E-1	-1.9865900E-6	1.5084336E+5	-2.9956905E+2
-6.9532000E+0	-3.0009500E-1	-1.9858000E-6	1.5090346E+5	-2.9956922E+2
