Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3923000E+3	-3.0008200E-1	-1.1181200E-5	2.6208085E+4	-2.9295777E+2
4.2388000E+3	-3.0008300E-1	-1.1179100E-5	2.6213216E+4	-2.9295911E+2
4.0800000E+3	-3.0008300E-1	-1.1178800E-5	2.6213937E+4	-2.9295930E+2
3.9191000E+3	-3.0008400E-1	-1.1176500E-5	2.6219550E+4	-2.9296078E+2
3.7552000E+3	-3.0008000E-1	-1.1175300E-5	2.6222076E+4	-2.9296144E+2
3.5906000E+3	-3.0008300E-1	-1.1174300E-5	2.6224747E+4	-2.9296214E+2
3.4227000E+3	-3.0008300E-1	-1.1171500E-5	2.6231478E+4	-2.9296390E+2
3.2558000E+3	-3.0008400E-1	-1.1169300E-5	2.6236858E+4	-2.9296531E+2
3.0853000E+3	-3.0008500E-1	-1.1165900E-5	2.6245129E+4	-2.9296748E+2
2.9142000E+3	-3.0008500E-1	-1.1161100E-5	2.6256687E+4	-2.9297050E+2
2.7421000E+3	-3.0008500E-1	-1.1157800E-5	2.6264639E+4	-2.9297258E+2
2.5671000E+3	-3.0008600E-1	-1.1155800E-5	2.6269550E+4	-2.9297386E+2
2.3942000E+3	-3.0008500E-1	-1.1146600E-5	2.6291662E+4	-2.9297963E+2
2.2162000E+3	-3.0008300E-1	-1.1138700E-5	2.6310577E+4	-2.9298456E+2
2.0396000E+3	-3.0008500E-1	-1.1129300E-5	2.6333511E+4	-2.9299053E+2
1.8625200E+3	-3.0008500E-1	-1.1113300E-5	2.6372331E+4	-2.9300060E+2
1.6821900E+3	-3.0008200E-1	-1.1088100E-5	2.6433428E+4	-2.9301641E+2
1.5036000E+3	-3.0008300E-1	-1.1048000E-5	2.6531749E+4	-2.9304169E+2
1.3208800E+3	-3.0008500E-1	-1.0964000E-5	2.6740029E+4	-2.9309464E+2
1.1404900E+3	-3.0008600E-1	-1.0822100E-5	2.7098999E+4	-2.9318403E+2
9.5797000E+2	-3.0008400E-1	-1.0644600E-5	2.7561196E+4	-2.9329578E+2
7.7375000E+2	-3.0008200E-1	-1.0440500E-5	2.8112110E+4	-2.9342428E+2
5.9166000E+2	-3.0008500E-1	-1.0204200E-5	2.8777989E+4	-2.9357317E+2
4.0798000E+2	-3.0008500E-1	-9.9236000E-6	2.9609530E+4	-2.9374990E+2
2.2256000E+2	-3.0008700E-1	-9.5874800E-6	3.0669883E+4	-2.9396164E+2
1.3086300E+2	-3.0008900E-1	-9.3788000E-6	3.1366524E+4	-2.9409311E+2
8.4839000E+1	-3.0008900E-1	-9.2644100E-6	3.1761593E+4	-2.9416515E+2
3.9883000E+1	-3.0008600E-1	-9.1578200E-6	3.2138279E+4	-2.9423223E+2
2.9700000E+1	-3.0008300E-1	-9.1369600E-6	3.2212762E+4	-2.9424531E+2
2.0394000E+1	-3.0008600E-1	-9.1148800E-6	3.2292650E+4	-2.9425927E+2
1.1096200E+1	-3.0008500E-1	-9.0995900E-6	3.2347859E+4	-2.9426888E+2
7.2453000E+0	-3.0008300E-1	-9.0913500E-6	3.2377529E+4	-2.9427403E+2
3.5054000E+0	-3.0008200E-1	-9.0842000E-6	3.2403399E+4	-2.9427852E+2
-2.5661000E-1	-3.0008400E-1	-9.0876600E-6	3.2391042E+4	-2.9427638E+2
-3.9909000E+0	-3.0008600E-1	-9.0861900E-6	3.2396604E+4	-2.9427734E+2
-7.7538000E+0	-3.0008600E-1	-9.0906500E-6	3.2380401E+4	-2.9427453E+2
