Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3912000E+3	-4.0010400E-1	-1.6198200E-5	2.4070522E+4	-3.8979779E+2
4.2385000E+3	-4.0010500E-1	-1.6197000E-5	2.4072414E+4	-3.8979857E+2
4.0796000E+3	-4.0010600E-1	-1.6196000E-5	2.4074001E+4	-3.8979922E+2
3.9181000E+3	-4.0010700E-1	-1.6195800E-5	2.4074368E+4	-3.8979937E+2
3.7547000E+3	-4.0010900E-1	-1.6194700E-5	2.4076169E+4	-3.8980012E+2
3.5901000E+3	-4.0010400E-1	-1.6189300E-5	2.4084101E+4	-3.8980339E+2
3.4222000E+3	-4.0010500E-1	-1.6189500E-5	2.4083858E+4	-3.8980329E+2
3.2551000E+3	-4.0010400E-1	-1.6186100E-5	2.4088987E+4	-3.8980541E+2
3.0853000E+3	-4.0010500E-1	-1.6185000E-5	2.4090729E+4	-3.8980613E+2
2.9138000E+3	-4.0010200E-1	-1.6180000E-5	2.4098183E+4	-3.8980920E+2
2.7412000E+3	-4.0010500E-1	-1.6176800E-5	2.4103260E+4	-3.8981129E+2
2.5669000E+3	-4.0010400E-1	-1.6171700E-5	2.4110998E+4	-3.8981448E+2
2.3940000E+3	-4.0010200E-1	-1.6165900E-5	2.4119751E+4	-3.8981808E+2
2.2160000E+3	-4.0010200E-1	-1.6154800E-5	2.4136757E+4	-3.8982507E+2
2.0394000E+3	-4.0010200E-1	-1.6143300E-5	2.4154400E+4	-3.8983231E+2
1.8622700E+3	-4.0010000E-1	-1.6126000E-5	2.4180864E+4	-3.8984316E+2
1.6819300E+3	-4.0009900E-1	-1.6099500E-5	2.4221641E+4	-3.8985982E+2
1.5026100E+3	-4.0010200E-1	-1.6050200E-5	2.4298163E+4	-3.8989095E+2
1.3205900E+3	-4.0010400E-1	-1.5952500E-5	2.4450959E+4	-3.8995254E+2
1.1401900E+3	-4.0010600E-1	-1.5779400E-5	2.4726224E+4	-3.9006161E+2
9.5769000E+2	-4.0010700E-1	-1.5550300E-5	2.5099857E+4	-3.9020593E+2
7.7346000E+2	-4.0010500E-1	-1.5288800E-5	2.5539811E+4	-3.9037058E+2
5.9145000E+2	-4.0010400E-1	-1.4980200E-5	2.6078856E+4	-3.9056493E+2
4.0775000E+2	-4.0010600E-1	-1.4617100E-5	2.6742461E+4	-3.9079367E+2
2.2177000E+2	-4.0010500E-1	-1.4170000E-5	2.7606062E+4	-3.9107524E+2
1.3062500E+2	-4.0010400E-1	-1.3891000E-5	2.8173110E+4	-3.9125094E+2
8.4761000E+1	-4.0010200E-1	-1.3749500E-5	2.8469385E+4	-3.9134002E+2
3.9733000E+1	-4.0010400E-1	-1.3606600E-5	2.8775142E+4	-3.9143007E+2
2.9566000E+1	-4.0010300E-1	-1.3578800E-5	2.8835269E+4	-3.9144756E+2
2.0260000E+1	-4.0010200E-1	-1.3555200E-5	2.8886496E+4	-3.9146240E+2
1.0942200E+1	-4.0010500E-1	-1.3531700E-5	2.8937977E+4	-3.9147727E+2
7.0670000E+0	-4.0010100E-1	-1.3522700E-5	2.8957361E+4	-3.9148285E+2
3.3748000E+0	-4.0010200E-1	-1.3512900E-5	2.8978892E+4	-3.9148904E+2
-3.6250000E-1	-4.0010000E-1	-1.3520700E-5	2.8961663E+4	-3.9148409E+2
-4.0849000E+0	-4.0010100E-1	-1.3519000E-5	2.8965458E+4	-3.9148518E+2
-7.8511000E+0	-4.0010000E-1	-1.3517700E-5	2.8968230E+4	-3.9148598E+2
