Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)
1.9929100E+3	1.2000000E+0	2.3483700E-3	5.1099273E+2
1.9052200E+3	1.2000100E+0	2.3482800E-3	5.1101657E+2
1.8140900E+3	1.2000000E+0	2.3482500E-3	5.1101884E+2
1.7231700E+3	1.1999900E+0	2.3483600E-3	5.1099065E+2
1.6291700E+3	1.1999900E+0	2.3481800E-3	5.1102982E+2
1.5343300E+3	1.1999900E+0	2.3481200E-3	5.1104288E+2
1.4367300E+3	1.1999900E+0	2.3479400E-3	5.1108205E+2
1.3405200E+3	1.1999800E+0	2.3479200E-3	5.1108215E+2
1.2437700E+3	1.2000000E+0	2.3478700E-3	5.1110155E+2
1.1449900E+3	1.2000000E+0	2.3477800E-3	5.1112114E+2
1.0477200E+3	1.2000100E+0	2.3477800E-3	5.1112540E+2
9.4773000E+2	1.2000200E+0	2.3476000E-3	5.1116885E+2
8.4772000E+2	1.2000000E+0	2.3473400E-3	5.1121695E+2
7.4947000E+2	1.1999900E+0	2.3471500E-3	5.1125407E+2
6.4871000E+2	1.1999800E+0	2.3467700E-3	5.1133260E+2
5.4831000E+2	1.1999800E+0	2.3461300E-3	5.1147208E+2
4.9783000E+2	1.1999800E+0	2.3458600E-3	5.1153095E+2
4.4767000E+2	1.2000000E+0	2.3454300E-3	5.1163326E+2
3.9727000E+2	1.1999800E+0	2.3446600E-3	5.1179275E+2
3.4689000E+2	1.1999900E+0	2.3442500E-3	5.1188653E+2
2.9655000E+2	1.2000000E+0	2.3430500E-3	5.1215296E+2
2.4395000E+2	1.1999900E+0	2.3408800E-3	5.1262346E+2
1.9372300E+2	1.1999900E+0	2.3367800E-3	5.1352288E+2
1.4336800E+2	1.1999700E+0	2.3288200E-3	5.1526954E+2
9.3333000E+1	1.1999800E+0	2.3090600E-3	5.1968333E+2
8.2416000E+1	1.1999800E+0	2.3020900E-3	5.2125677E+2
7.2226000E+1	1.1999800E+0	2.2944200E-3	5.2299928E+2
6.1893000E+1	1.1999800E+0	2.2840700E-3	5.2536919E+2
5.3654000E+1	1.2000000E+0	2.2750400E-3	5.2746325E+2
4.3418000E+1	1.1999900E+0	2.2615600E-3	5.3060277E+2
3.3101000E+1	1.1999800E+0	2.2457000E-3	5.3434564E+2
3.0888000E+1	1.1999900E+0	2.2423900E-3	5.3513885E+2
2.8832000E+1	1.1999800E+0	2.2385700E-3	5.3604757E+2
2.6761000E+1	1.1999900E+0	2.2349300E-3	5.3692509E+2
2.4691000E+1	1.1999900E+0	2.2318900E-3	5.3765643E+2
2.2699000E+1	1.2000000E+0	2.2281200E-3	5.3857063E+2
2.0635000E+1	1.2000000E+0	2.2257000E-3	5.3915622E+2
1.8550100E+1	1.1999900E+0	2.2221500E-3	5.4001305E+2
1.6513900E+1	1.1999800E+0	2.2181400E-3	5.4098479E+2
1.4458200E+1	1.1999700E+0	2.2143500E-3	5.4190620E+2
1.2385300E+1	1.1999900E+0	2.2115700E-3	5.4259644E+2
1.0335900E+1	1.1999900E+0	2.2086000E-3	5.4332609E+2
8.2793000E+0	1.1999800E+0	2.2040800E-3	5.4443577E+2
6.2525000E+0	1.1999800E+0	2.2008600E-3	5.4523232E+2
4.1694000E+0	1.1999600E+0	2.1955100E-3	5.4655183E+2
2.0738000E+0	1.1999700E+0	2.1921600E-3	5.4739161E+2
-2.3000000E-4	1.1999700E+0	2.1875100E-3	5.4855521E+2
-2.0386800E+0	1.1999800E+0	2.1836200E-3	5.4953701E+2
-4.1373000E+0	1.1999900E+0	2.1770400E-3	5.5120255E+2
-6.1721000E+0	1.1999800E+0	2.1713700E-3	5.5263728E+2
-8.2552000E+0	1.1999800E+0	2.1646500E-3	5.5435290E+2
