Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
7.0355000E+3	-4.0010400E-1	-1.7073700E-5	2.1009936E+4	14009.936
6.8420000E+3	-4.0010400E-1	-1.7070600E-5	2.1014192E+4
6.6424000E+3	-4.0010300E-1	-1.7070900E-5	2.1013722E+4
6.4385000E+3	-4.0010200E-1	-1.7067800E-5	2.1017920E+4
6.2325000E+3	-4.0010400E-1	-1.7062300E-5	2.1025594E+4
6.0215000E+3	-4.0010400E-1	-1.7062800E-5	2.1024906E+4
5.8117000E+3	-4.0010400E-1	-1.7057800E-5	2.1031780E+4
5.6020000E+3	-4.0010600E-1	-1.7055500E-5	2.1035060E+4
5.3894000E+3	-4.0010300E-1	-1.7052800E-5	2.1038599E+4
5.1758000E+3	-4.0010400E-1	-1.7046800E-5	2.1046915E+4
4.9622000E+3	-4.0010400E-1	-1.7042400E-5	2.1052975E+4
4.7473000E+3	-4.0010000E-1	-1.7039700E-5	2.1056460E+4
4.5319000E+3	-4.0010200E-1	-1.7033000E-5	2.1065814E+4
4.3165000E+3	-4.0010500E-1	-1.7026400E-5	2.1075096E+4
4.0995000E+3	-4.0010500E-1	-1.7019300E-5	2.1084899E+4
3.8843000E+3	-4.0010300E-1	-1.7011500E-5	2.1095560E+4
3.6657000E+3	-4.0010300E-1	-1.6998500E-5	2.1113547E+4
3.4475000E+3	-4.0010400E-1	-1.6987200E-5	2.1129264E+4
3.2281000E+3	-4.0010500E-1	-1.6972200E-5	2.1150139E+4
3.0073000E+3	-4.0010200E-1	-1.6946700E-5	2.1185434E+4
2.7851000E+3	-4.0010400E-1	-1.6913900E-5	2.1231337E+4
2.5619000E+3	-4.0010400E-1	-1.6866900E-5	2.1297253E+4
2.3403000E+3	-4.0010600E-1	-1.6793500E-5	2.1401051E+4
2.1137000E+3	-4.0010200E-1	-1.6688400E-5	2.1550857E+4
1.8892000E+3	-4.0010100E-1	-1.6558900E-5	2.1738293E+4
1.6622500E+3	-4.0010100E-1	-1.6417100E-5	2.1946991E+4
1.4346400E+3	-4.0010200E-1	-1.6266700E-5	2.2172384E+4
1.2060500E+3	-4.0010300E-1	-1.6110000E-5	2.2411692E+4
9.7503000E+2	-4.0010400E-1	-1.5954900E-5	2.2653186E+4
7.8917000E+2	-4.0010400E-1	-1.5824700E-5	2.2859512E+4
6.0522000E+2	-4.0010700E-1	-1.5700100E-5	2.3060360E+4
4.2034000E+2	-4.0010400E-1	-1.5576900E-5	2.3261727E+4
2.3288000E+2	-4.0010600E-1	-1.5451000E-5	2.3471152E+4
1.8339100E+2	-4.0010700E-1	-1.5414900E-5	2.3531861E+4
1.3693200E+2	-4.0010800E-1	-1.5380700E-5	2.3589640E+4
9.1373000E+1	-4.0010600E-1	-1.5348500E-5	2.3644085E+4
4.5798000E+1	-4.0010500E-1	-1.5316400E-5	2.3698653E+4
3.4896000E+1	-4.0010500E-1	-1.5310400E-5	2.3708890E+4
2.5274000E+1	-4.0010600E-1	-1.5303800E-5	2.3720226E+4
1.5859600E+1	-4.0011100E-1	-1.5298800E-5	2.3729097E+4
1.1801700E+1	-4.0010600E-1	-1.5296400E-5	2.3732874E+4
8.0289000E+0	-4.0010500E-1	-1.5294700E-5	2.3735715E+4
4.2318000E+0	-4.0010200E-1	-1.5290100E-5	2.3743389E+4
4.9644000E-1	-4.0010500E-1	-1.5289400E-5	2.3744784E+4
-3.3068000E+0	-4.0010200E-1	-1.5285000E-5	2.3752120E+4
-5.2267000E+0	-4.0010100E-1	-1.5285700E-5	2.3750856E+4
-8.9453000E+0	-4.0010600E-1	-1.5289300E-5	2.3745020E+4
-1.2704000E+1	-4.0010500E-1	-1.5286300E-5	2.3750091E+4
-1.6459400E+1	-4.0010500E-1	-1.5291100E-5	2.3741874E+4
-2.0204900E+1	-4.0010700E-1	-1.5292000E-5	2.3740465E+4
